record_index,player_id,player_name,base_link_12c_a,base_link_12e_b,aux_link_160_a,aux_link_162_b,roster_link_164_a,roster_link_166_b,salary_raw_candidate,contract_end_candidate,market_value_raw,transfer_flags_raw,transfer_listed_candidate,loan_listed_candidate,form_arrow_candidate,stamina_candidate,raw_record_sha256
370,45179,Trey Nyoni,32784,26,49165,25,49165,25,12455,2027-08-31,0,33,False,False,2,100,98754fa39fa178d42d93653c95331f345def0246aca2052a1de8f311ae752d27
371,129064,Rio Ngumoha,61,32,49165,25,49165,25,13413,2028-08-31,0,3,True,False,2,100,2804252398320bf0dba128b2a5c0d324972f2c0d3edbe4a868fa1fce87c132e3
381,136694,Harvey Davies,49171,44,49165,25,49165,25,8820,2027-08-31,0,1,False,False,2,100,5e26e3ec50d79bb8b21b3a21e6a7315249438c46ff39a7509dcba69de125e05f
397,103851,James Trafford,32775,95,16398,43,16398,43,24900,2028-08-31,0,17,False,False,2,100,12549ae31a7a96f66bf6fa56e6ce9ba4672e29f2e8bea00159655c56dc2ba96c
407,141713,Christian McFarlane,32784,26,16398,43,16398,43,8161,2027-08-31,0,1,False,False,2,100,903c550be67430e5d58c883f7395f7acb77b11b7b2342ac21526cfb04fb18706
410,103047,Marcus Bettinelli,32777,44,16398,43,16398,43,12509,2027-08-31,0,0,False,False,2,100,16a18ca7c5854735ae01feeec9c2f2c72db20ac43e9edf6c7447046c89356bb2
433,60512,Bruno Fernandes,49171,44,15,25,15,25,44830,2028-08-31,0,0,False,False,2,100,089b0bdfb33871d04b58e1441f5fa78011cea405425a6b9316c550138039d423
439,104765,Tyler Fredricson,16635,26,15,25,15,25,10767,2028-08-31,0,1,False,False,2,100,84dac336d559112c09467b446f10013cb7baa6785d455907a63954df1d3cf0e7
451,160318,Lewis Miley,16439,27,32784,26,32784,26,16628,2028-08-31,0,4,False,True,2,100,51675da9f88b0cbb99d53e3d9bdd01345d5edd71faf22215fa0d0bada7e5129a
460,32386,John Ruddy,16635,26,32784,26,32784,26,13017,2028-08-31,0,1,False,False,2,100,7aa8b07851b5c0e778c4e52b4febb785cbd7c828b5c79ba59ab37af6f0f88ad9
464,143220,Garang Kuol,32775,95,32784,26,32784,26,6800,2027-08-31,0,1,False,False,2,100,c9915598833d5405464c10be199832cd6382e6dd9e1fe1c155c3458502648b85
468,37422,Sean Steur,15,25,32784,26,32784,26,13486,2029-08-31,0,0,False,False,2,100,92101a5f1ecfc591a89e4fbb79a707e5103fe1700f674419f211305006aa6562
560,115038,Francesco Rossi,49188,479,32788,58,32788,58,4336,2028-08-31,0,0,False,False,2,100,2c31fe228c57c3d76dc99b55849c3c6be3d44ceffd4cdeac11b17b21046adc84
585,114480,Federico Ravaglia,32797,30,32789,46,32789,46,4561,2029-08-31,0,2,True,False,2,100,f9838eb70f6945190380a0b53426c484abd7619b502b2e40076bdb103f416f36
590,401463,Eivind Helland,32816,90,32789,46,32789,46,7893,2027-08-31,0,17,False,False,2,100,98e82369259c8688982a3676711c603ffe5b04ebd7c3d67b0e43de8290ed3dee
604,137713,Massimo Pessina,22,80,32789,46,32789,46,4860,2027-08-31,0,1,False,False,2,100,54ae804988a5279756552cc24e21cd0204664004ee2bd1a8c6073387bf3c34f8
659,39194,Mattia Liberali,315,60,23,47,23,47,8668,2027-08-31,0,17,False,False,2,100,91809b21332a978e2529aa363e607af54bfaf56d63f32c5e614405a2bb55bc11
698,40571,David De Gea,16415,30,25,31,25,31,44614,2028-08-31,0,0,False,False,2,100,512c22481b2e57b849217cc2a2dfb0f43c49e0ecbb2889f55bce5416f140063e
701,109588,Riccardo Braschi,49188,479,25,31,25,31,5969,2028-08-31,0,1,False,False,2,100,f62255c319be42ed4e88bb33b3e3799b3540b99736ff46e570195b73d2c7c6fe
707,43784,Eddy Kouadio,28,30,25,31,25,31,8527,2028-08-31,0,0,False,False,2,100,f154ce2b0b53a7dbe4dca8b9c336cf5d443f09825a408e5d867e7de35262e230
756,134745,Ernestas Lysionok,16394,397,49178,80,49178,80,3763,2029-08-31,0,0,False,False,2,100,8242b0922b875ea3044ba5aa3a6a1bc526c009014378764286ca83d7f950b21d
760,136257,Pio Esposito,16419,31,49179,29,49179,29,16021,2027-08-31,0,1,False,False,2,100,6725e9af6e1e7dbf5e1824240fc989767b9e875f359809109c2b7111e26a8ba3
763,121168,Raffaele Di Gennaro,28,30,49179,29,49179,29,13413,2030-08-31,0,1,False,False,2,100,67601fb2b77338fc21a6aacf9c733feb78339de40277831e78f9c5c8a0d2b7b6
829,100467,Dimitrije Kamenović,16421,83,32797,30,32797,30,7327,2027-08-31,0,1,False,False,2,100,bb7dbf86b55114a50375e313296fc9ff1a314fbad6f254af0dea106c9200704f
896,117594,Aljaz Strajnar,267,91,32800,1228,32800,1228,3479,2028-08-31,0,6,True,True,2,100,356448bfd5354a68b87f0e1336bc737a8c318fdc320c32d002916436636bc04f
924,107914,Nikita Contini,16419,31,49185,81,49185,81,16156,2027-08-31,0,1,False,False,2,100,9563099b15d690b0652cd68c23a23bb70935cb692bde6b07c7adcd85682d0809
932,116946,Pasquale Mazzocchi,32788,58,49185,81,49185,81,10356,2028-08-31,0,1,False,False,2,100,8d41c94871d12ac1203a5c2d7a01ba47ba847f5db9216fe7637ce146922220c8
941,118240,Vanja Milinković-savić,28,30,49185,81,49185,81,22370,2031-08-31,0,0,False,False,2,100,9708f28b42f8bf77fbffc2879ea360782279c484534faa09178207d2efb0cc3c
947,104737,Antonio Vergara,25,31,49185,81,49185,81,7683,2029-08-31,0,32,False,False,2,100,faba21fa872cc2b0caf0c5b4b20663b84198f0cfd76620afc632b668e6d1001a
949,53904,Lorenzo Lucca,16415,30,49185,81,49185,81,14539,2028-08-31,0,19,True,False,2,100,0ad9a9f6472d0fd2b460a8cc8ca03c13363f67a0c472369aacdc1f8783368ed7
952,132685,Edoardo Corvi,49185,81,49186,30,49186,30,10128,2031-08-31,0,0,False,False,2,100,5652ea31df5c782230b3cc39646b494d8e8b7351f9debc6af5d79244fac81b1e
1135,120617,Álex Padilla,32797,30,32808,64,32808,64,10531,2028-08-31,0,0,False,False,2,100,03df9454a968992ee4fa8952bfca854f373ec7061a45841cf025fe67b7b92617
1139,401028,Nico Serrano,49199,64,32808,64,32808,64,13709,2028-08-31,0,1,False,False,2,100,be0019ac0560c98bb798b2c01d74fbb12260c3c7097fbba462542b6e704a16bd
1140,128595,Unai Eguíluz,16428,1036,32808,64,32808,64,8197,2027-08-31,0,1,False,False,2,100,44562db22853b19c58998ec4faebf72eef4c26dfe31bb9965ecc4c8b596e8c84
1141,127669,Alejandro Rego,49195,48,32808,64,32808,64,6534,2028-08-31,0,81,False,False,2,100,af9f671fb4f6893659d4394b7b499e44207b73c2a8e44b06015741a381cb8d00
1142,56247,Urko Izeta,16428,1036,32808,64,32808,64,6534,2027-08-31,0,1,False,False,2,100,f70f874b5ef8850570605ca397b09f50c6ded0144da7b134fd0fadf1d45d12fd
1150,141371,Javi Serrano,16653,65,41,43,41,43,9359,2027-08-31,0,1,False,False,2,100,51ec90db7e58622adfdf5c0e88bb1ce5807898e11ee7c62d192ef509ecf1ee7d
