record_index,player_id,player_name,link_12c_team,link_12c_team_name_candidate,link_12c_second,link_160_team,link_160_team_name_candidate,link_160_second,link_164_team,link_164_team_name_candidate,link_164_second,candidate_date,direction_vs_roster_candidate
604,137713,Massimo Pessina,22,CAGLIARI,80,32789,BOLOGNA,46,32789,BOLOGNA,46,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
659,39194,Mattia Liberali,315,SÜDTIROL,60,23,COMO 1907,47,23,COMO 1907,47,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
701,109588,Riccardo Braschi,49188,,479,25,FIORENTINA,31,25,FIORENTINA,31,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
760,136257,Pio Esposito,16419,,31,49179,,29,49179,,29,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
763,121168,Raffaele Di Gennaro,28,,30,49179,,29,49179,,29,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
829,100467,Dimitrije Kamenović,16421,,83,32797,,30,32797,,30,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
924,107914,Nikita Contini,16419,,31,49185,NAPOLI,81,49185,NAPOLI,81,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
932,116946,Pasquale Mazzocchi,32788,ATALANTA,58,49185,NAPOLI,81,49185,NAPOLI,81,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
949,53904,Lorenzo Lucca,16415,LECCE,30,49185,NAPOLI,81,49185,NAPOLI,81,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1139,401028,Nico Serrano,49199,,64,32808,ATHLETIC CLUB BILBAO,64,32808,ATHLETIC CLUB BILBAO,64,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1140,128595,Unai Eguíluz,16428,DEPORTIVO ALAVÉS,1036,32808,ATHLETIC CLUB BILBAO,64,32808,ATHLETIC CLUB BILBAO,64,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1141,127669,Alejandro Rego,49195,CELTA DE VIGO,48,32808,ATHLETIC CLUB BILBAO,64,32808,ATHLETIC CLUB BILBAO,64,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1142,56247,Urko Izeta,16428,DEPORTIVO ALAVÉS,1036,32808,ATHLETIC CLUB BILBAO,64,32808,ATHLETIC CLUB BILBAO,64,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1150,141371,Javi Serrano,16653,,65,41,ATLÉTICO DE MADRID,43,41,ATLÉTICO DE MADRID,43,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1163,3272,Antonio Gomis,56,REAL OVIEDO,49,41,ATLÉTICO DE MADRID,43,41,ATLÉTICO DE MADRID,43,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1182,55862,Marc Bernal,32826,VALENCIA,27,42,BARCELONA,27,42,BARCELONA,27,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1510,133333,Endrick,444,AL-NASSR FC,676,16439,,27,16439,,27,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1514,130136,Fran González,49211,VILLARREAL,66,16439,,27,16439,,27,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1530,128401,Thiago Pitarch,16547,,53,16439,,27,16439,,27,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1531,133561,Jorge Cestero,32788,ATALANTA,58,16439,,27,16439,,27,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1532,122699,Manu Serrano,32822,,48,16439,,27,16439,,27,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1538,107674,Gonçalo Guedes,49199,,64,56,REAL OVIEDO,49,56,REAL OVIEDO,49,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1608,110543,Alberto Marí,49203,OSASUNA,65,32826,VALENCIA,27,32826,VALENCIA,27,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1615,138292,Arnau Tenas,32816,,90,49211,VILLARREAL,66,49211,VILLARREAL,66,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
1698,128518,Leon Klanac,16552,,28,49214,BAYERN MÜNCHEN,31,49214,BAYERN MÜNCHEN,31,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
1913,52907,Nathan De Cat,324,KAA GENT,299,32837,,574,32837,,574,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
2048,142764,El Chadaille Bitshiabu,32942,,54,74,RB LEIPZIG,575,74,RB LEIPZIG,575,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
2069,117987,Samba Konaté,32940,,45,74,RB LEIPZIG,575,74,RB LEIPZIG,575,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
2423,114102,Bernt Klaverboer,220,DEPORTIVO MUNICIPAL IQUIQUE,636,16471,HERACLES ALMELO,61,16471,HERACLES ALMELO,61,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
2561,127553,Sergi Rosanas,436,LYNGBY BK,1306,49244,SPARTA ROTTERDAM,87,49244,SPARTA ROTTERDAM,87,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
2748,116889,João Rêgo,16866,OLYMPIAKOS PIRAEUS,33,49251,BENFICA,47,49251,BENFICA,47,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
2757,141710,Gabriel Índio,16770,ATLÉTICO NACIONAL,548,49251,BENFICA,47,49251,BENFICA,47,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3031,10648,Samuel Alves,50,,65,49261,RIO AVE,494,49261,RIO AVE,494,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3163,129641,João Cruz,33130,ALANYASPOR,1300,32882,ATHLETICO PARANAENSE,482,32882,ATHLETICO PARANAENSE,482,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3205,398174,Mamady Cissé,32921,ROSARIO CENTRAL,310,16499,ATLÉTICO MINEIRO,311,16499,ATLÉTICO MINEIRO,311,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3249,383411,Victor,16441,SEVILLA,66,16500,BAHIA,613,16500,BAHIA,613,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3285,123428,Junior Santos,32885,BOTAFOGO,311,16499,ATLÉTICO MINEIRO,311,32885,BOTAFOGO,311,2026-12-31,LUA_CURRENT_EQUALS_ROSTER
3341,36697,Gui Negão,16945,BARCELONA SC,1010,49271,CORINTHIANS,311,49271,CORINTHIANS,311,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3356,112587,Jacaré,16722,CSKA MOSKVA,304,49271,CORINTHIANS,311,49271,CORINTHIANS,311,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3365,55832,Kauê,33311,POUSO ALEGRE,1326,49271,CORINTHIANS,311,49271,CORINTHIANS,311,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3368,144101,Jp Chermont,49272,CORITIBA,482,32898,SANTOS,313,49272,CORITIBA,482,2026-12-31,LUA_CURRENT_EQUALS_ROSTER
3421,120459,Vitor Lamounier,16988,AL-JAZIRA,17028,32889,CRUZEIRO,68,32889,CRUZEIRO,68,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3425,55803,Ruan Índio,32892,GRÊMIO,312,32889,CRUZEIRO,68,32889,CRUZEIRO,68,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3472,127218,Marcelo Pitaluga,49706,TOMBENSE,1499,16507,FLUMINENSE,312,16507,FLUMINENSE,312,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3482,107359,Julio Fidelis,49698,PRIMAVERA,50,16507,FLUMINENSE,312,16507,FLUMINENSE,312,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3485,130470,Riquelme Felipe,16499,ATLÉTICO MINEIRO,311,16507,FLUMINENSE,312,16507,FLUMINENSE,312,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3496,57331,João Loiola,16500,BAHIA,613,16507,FLUMINENSE,312,16507,FLUMINENSE,312,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3606,120448,Luis Pacheco,16499,ATLÉTICO MINEIRO,311,16511,PALMEIRAS,34,16511,PALMEIRAS,34,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3616,58075,Riquelme Fillipi,49698,PRIMAVERA,50,16511,PALMEIRAS,34,16511,PALMEIRAS,34,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3617,114991,Kauan Lima,49676,AMÉRICA DE NATAL,1305,16511,PALMEIRAS,34,16511,PALMEIRAS,34,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3660,123484,Yuri Alves,32924,TALLERES DE CÓRDOBA,1261,49280,RED BULL BRAGANTINO,614,49280,RED BULL BRAGANTINO,614,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3705,55094,Gabriel Menino,32898,SANTOS,313,16499,ATLÉTICO MINEIRO,311,32898,SANTOS,313,2026-12-31,LUA_CURRENT_EQUALS_ROSTER
3736,44494,João Pedro,16841,AL-HAZEM,1351,32898,SANTOS,313,32898,SANTOS,313,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
3775,113950,Ramon Rique,16858,JUVENTUDE,1284,132,VASCO DA GAMA,34,132,VASCO DA GAMA,34,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3782,113364,Tchê Tchê,16827,AL-ITTIHAD CLUB,1235,132,VASCO DA GAMA,34,132,VASCO DA GAMA,34,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3793,400859,Pablo,542,PARANÁ CLUBE,616,132,VASCO DA GAMA,34,132,VASCO DA GAMA,34,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3829,43761,Zé Breno,49261,RIO AVE,494,16517,VITÓRIA,484,16517,VITÓRIA,484,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
3842,142424,Edenilson,22,CAGLIARI,80,16517,VITÓRIA,484,16517,VITÓRIA,484,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
4113,118622,Fabricio Pérez,32957,NACIONAL,622,32910,ESTUDIANTES,309,32910,ESTUDIANTES,309,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4152,100988,Máximo Cabrera,16900,MARINGÁ,682,49295,GIMNASIA Y ESGRIMA LA PLATA,309,49295,GIMNASIA Y ESGRIMA LA PLATA,309,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4204,319906,Diego Segovia,32924,TALLERES DE CÓRDOBA,1261,146,INDEPENDIENTE,310,146,INDEPENDIENTE,310,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4245,142835,Mauro Peinipil,16920,MADUREIRA,480,49299,INDEPENDIENTE RIVADAVIA,480,49299,INDEPENDIENTE RIVADAVIA,480,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
4267,132740,Nicolás Cláa,32913,HURACÁN,480,16532,LANÚS,482,16532,LANÚS,482,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4384,7255,Lautaro Díaz,32923,SARMIENTO,682,16535,RACING CLUB,309,16535,RACING CLUB,309,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4394,133627,Lautaro Rivero,16535,RACING CLUB,309,32920,RIVER PLATE,34,32920,RIVER PLATE,34,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4440,60265,Augusto Solari,217,COLO COLO,314,32921,ROSARIO CENTRAL,310,32921,ROSARIO CENTRAL,310,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
4572,133121,Lucas Meuli,49738,UNIVERSITARIO,553,32926,UNIÓN SANTA FE,634,32926,UNIÓN SANTA FE,634,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4656,124981,Ben Viadere,33256,DYNAMO KYIV,33,161,AUXERRE,45,161,AUXERRE,45,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
4943,56155,Ilan Jourdren,267,LEGANÉS,91,32940,,45,32940,,45,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
5424,56106,Emiliano Corujo,144,GODOY CRUZ,481,192,CA PROGRESO,624,192,CA PROGRESO,624,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
5486,121835,Ahn Joon-soo,33369,,17427,16579,CEREZO OSAKA,601,16579,CEREZO OSAKA,601,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
5801,121712,M. Goto,49603,AL-FAYHA FC,1349,32974,SHONAN BELLMARE,672,32974,SHONAN BELLMARE,672,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
6214,113895,Vicente Concha,32995,UNIÓN LA CALERA,636,220,DEPORTIVO MUNICIPAL IQUIQUE,636,220,DEPORTIVO MUNICIPAL IQUIQUE,636,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
6317,135482,Gabriel Fuentes,49295,GIMNASIA Y ESGRIMA LA PLATA,309,225,PALESTINO,637,225,PALESTINO,637,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
6799,398959,Josh Knight,49535,ALIANZA,1301,16626,,50,16626,,50,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
6844,112963,Jack Walton,49645,SPARTA PRAHA,43,243,,1048,243,,1048,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
7196,136512,Marc Bombardó,299,,1232,16640,ANDORRA,1077,16640,ANDORRA,1077,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
7785,101195,Robin Lisewski,49411,CASTELLÓN,630,49433,FORTUNA DÜSSELDORF,1063,49433,FORTUNA DÜSSELDORF,1063,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
7924,132558,Enis Kamga,49257,GIL VICENTE,596,33054,,1051,33054,,1051,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
8416,124338,Lorenzo Madia,49462,,1228,303,,1060,303,,1060,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
8565,59476,Alessandro Signorini,32878,SPORTING BRAGA,595,49460,MODENA,1230,49460,MODENA,1230,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
8783,143107,Elia Tantalocchi,263,,654,315,SÜDTIROL,60,315,SÜDTIROL,60,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
8888,140826,Lowie Piselé,33207,SILKEBORG IF,517,49471,ROYAL ANTWERP,1297,49471,ROYAL ANTWERP,1297,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9145,140194,Matt Lendfers,32853,,85,33097,SINT-TRUIDEN,1298,33097,SINT-TRUIDEN,1298,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9349,122064,N. Medvedev,33166,LA EQUIDAD,663,16721,RUBIN KAZAN,485,16721,RUBIN KAZAN,485,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9351,133584,Nikita Yanovich,33108,BALTIKA KALININGRAD,1324,16721,RUBIN KAZAN,485,16721,RUBIN KAZAN,485,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9421,134880,R. Mitsaev,33124,,1240,16723,RÚSSIA,438,16723,RÚSSIA,438,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9506,138619,A. Savin,401,PATRIOTAS,677,49494,LOKOMOTIV MOSKVA,67,49494,LOKOMOTIV MOSKVA,67,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9561,107851,M. Rudakov,33167,MILLONARIOS,314,16728,ROSTOV,557,16728,ROSTOV,557,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9566,136556,A. Smirnov,376,KONYASPOR,1301,16728,ROSTOV,557,16728,ROSTOV,557,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9573,123816,K. Pliev,16721,RUBIN KAZAN,485,16728,ROSTOV,557,16728,ROSTOV,557,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9677,122260,T. Akmurzin,349,FAKEL VORONEZH,1300,49500,SPARTAK MOSKVA,33,49500,SPARTAK MOSKVA,33,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9732,123768,V. Poletaev,438,NORDSJÆLLAND,302,16734,URAL ECATERIMBURGO,1300,16734,URAL ECATERIMBURGO,1300,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9752,132220,D. Prokhin,33109,KRASNODAR,654,33119,ZENIT,304,33119,ZENIT,304,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9759,123623,A. Sutormin,33109,KRASNODAR,654,33119,ZENIT,304,33119,ZENIT,304,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
9761,127288,N. Rybikov,33121,GRASSHOPPER,1336,33119,ZENIT,304,33119,ZENIT,304,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9771,134774,Gustavo Mantuan,49525,İSTANBUL BAŞAKŞEHİR,498,33119,ZENIT,304,33119,ZENIT,304,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
9990,60316,Alvyn Sanches,16650,,441,33128,YOUNG BOYS,487,33128,YOUNG BOYS,487,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
10063,37343,Kağan Arican,16779,INDEPENDIENTE SANTA FE,664,16747,ANTALYASPOR,497,16747,ANTALYASPOR,497,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
10233,376113,Onur Başyiğit,49741,MELBOURNE VICTORY,17425,369,GAZİANTEP FK,1339,369,GAZİANTEP FK,1339,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
10280,135889,Chidindu Lucky Ihejirika ,33124,,1240,49522,GÖZTEPE,1300,49522,GÖZTEPE,1300,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
10316,61505,Mücahit Serbest,33145,BODRUM FK,307,33140,,1301,33140,,1301,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
10876,133061,Neyder Aragón,33166,LA EQUIDAD,663,33159,,1342,33159,,1342,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
11383,119375,Du Changjie,320,BEERSCHOT,1304,49561,HENAN,1292,49561,HENAN,1292,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
11401,128992,Han Dong,405,ZHEJIANG,1023,49561,HENAN,1292,49561,HENAN,1292,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
11740,131378,C. Mochrie,422,DUNDEE FC,1328,421,DUNDEE UNITED,305,421,DUNDEE UNITED,305,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
11799,124036,R. Doohan,16743,ST. GALLEN,1234,33191,HIBERNIAN,655,33191,HIBERNIAN,655,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
11815,118261,R. Schofield,16743,ST. GALLEN,1234,33192,,305,33192,,305,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12204,9039,Aske Andrésen,33097,SINT-TRUIDEN,1298,33207,SILKEBORG IF,517,33207,SILKEBORG IF,517,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12354,58408,Raghed Al-najjar,16813,ST. JOHNSTONE,591,444,AL-NASSR FC,676,444,AL-NASSR FC,676,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12365,1073871520,Abdulsalam Barnawi,49598,AL-AHLI SAUDI,1043,49597,AL-HILAL SAUDI FC,1348,49597,AL-HILAL SAUDI FC,1348,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12402,58363,Ahmed Al-nakhli,33249,AEK ATHENS,67,49598,AL-AHLI SAUDI,1043,49598,AL-AHLI SAUDI,1043,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12515,1073864398,Ali Al-asmari,49197,,1098,49602,NEOM SC,1350,49602,NEOM SC,1350,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12523,108835,Alfa Semedo,433,BRØNDBY IF,458,49602,NEOM SC,1350,49602,NEOM SC,1350,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
12556,100924,Yazeed Al-sayyah,385,ATLÉTICO BUCARAMANGA,1302,452,AL-TAAWON FC,17029,452,AL-TAAWON FC,17029,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
12842,1073877578,Mohammed Abu Al-Shamat,49525,İSTANBUL BAŞAKŞEHİR,498,33228,AL-QADSIAH,1350,33228,AL-QADSIAH,1350,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
12945,1881,Italo Brito,33199,AALBORG BK,454,33231,AMÉRICA MINEIRO,612,33231,AMÉRICA MINEIRO,612,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
13137,118272,Mateus Santos,161,AUXERRE,45,33237,CUIABÁ,1285,33237,CUIABÁ,1285,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
13163,126514,Gustavo Santos,16510,MIRASSOL,1019,470,LONDRINA,602,470,LONDRINA,602,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
13432,113209,Halan,404,CHENGDU RONGCHENG,1292,49629,NÁUTICO,483,49629,NÁUTICO,483,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
13561,127660,Konstantinos Tzolakis,49224,,587,16866,OLYMPIAKOS PIRAEUS,33,16866,OLYMPIAKOS PIRAEUS,33,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
13563,157342,Athanasios Papadoudis,16566,DANUBIO MONTEVIDEO,620,16866,OLYMPIAKOS PIRAEUS,33,16866,OLYMPIAKOS PIRAEUS,33,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
13723,140950,C. Zawieschitzky,32956,MONTEVIDEO WANDERERS,621,33255,RB SALZBURG,587,33255,RB SALZBURG,587,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
13763,120497,Tymur Puzankov,562,CLUB BOLÍVAR,1010,489,SHAKHTAR DONETSK,308,489,SHAKHTAR DONETSK,308,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
14014,106480,Matteo Bignetti,16430,,90,49649,STURM GRAZ,97,49649,STURM GRAZ,97,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
14277,57971,Alex Paulino,436,LYNGBY BK,1306,33273,BRUSQUE,674,33273,BRUSQUE,674,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
14381,38178,Fernandinho,577,METROPOLITANOS FC,1417,16892,FERROVIÁRIA,615,16892,FERROVIÁRIA,615,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
14581,127410,Pantera,32918,PLATENSE,1363,33282,ITUANO,1027,33282,ITUANO,1027,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
15782,138567,Brian Arias,16566,DANUBIO MONTEVIDEO,620,49710,ALIANZA LIMA,571,49710,ALIANZA LIMA,571,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
15904,65079,Jesús Velásquez,16582,KASHIMA ANTLERS,672,562,CLUB BOLÍVAR,1010,562,CLUB BOLÍVAR,1010,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16058,140953,Facundo Insfrán,532,CAPIVARIANO,100,49720,CLUB OLIMPIA,1008,49720,CLUB OLIMPIA,1008,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16060,143114,Aaron Páez,16584,KAWASAKI FRONTALE,600,49720,CLUB OLIMPIA,1008,49720,CLUB OLIMPIA,1008,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16180,126943,Félix Mina,16964,ORIENTE PETROLERO,1001,49724,EMELEC,1000,49724,EMELEC,1000,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16225,123839,Darwin Guagua,16566,DANUBIO MONTEVIDEO,620,33341,INDEPENDIENTE DEL VALLE,1008,33341,INDEPENDIENTE DEL VALLE,1008,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16258,141022,Dayler Quintela,542,PARANÁ CLUBE,616,574,INDEPENDIENTE PETROLERO,1000,574,INDEPENDIENTE PETROLERO,1000,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16416,129060,Gustavo Salvatierra,49698,PRIMAVERA,50,16966,SAN ANTONIO BULO BULO,592,16966,SAN ANTONIO BULO BULO,592,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16490,134874,Diego Mesía,49570,WUHAN THREE TOWNS,1023,584,SPORT BOYS,669,584,SPORT BOYS,669,2026-12-31,LUA_ORIGIN_EQUALS_ROSTER
16525,401092,Sebastian Altamirano,49337,FÉNIX,620,16969,THE STRONGEST,1000,16969,THE STRONGEST,1000,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
16810,1073877576,Salah Zakaria,16997,AL-AHLY,1243,49748,AL-DUHAIL SC,17025,49748,AL-DUHAIL SC,17025,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
16811,128116,Bautista Burke,49763,RAJA CASABLANCA,1416,49748,AL-DUHAIL SC,17025,49748,AL-DUHAIL SC,17025,2026-06-30,LUA_ORIGIN_EQUALS_ROSTER
