offset_decimal,offset_hex,byte_state,profile_fields,ct_labels,distinct_byte_values,zero_count,ff_count,minimum,maximum,top_values
60,0x03C,PROFILE_CONFIRMED,playerName,Player Name,86,213,0,0,197,"[[32,3297],[97,2657],[111,2385],[101,2283],[105,2177]]"
61,0x03D,PROFILE_CONFIRMED,playerName,Player Name,85,534,0,0,197,"[[32,5152],[110,1950],[97,1507],[101,1334],[105,1332]]"
62,0x03E,PROFILE_CONFIRMED,playerName,Player Name,90,983,0,0,197,"[[32,4576],[111,2252],[97,1825],[110,1324],[105,1180]]"
63,0x03F,PROFILE_CONFIRMED,playerName,Player Name,92,1624,0,0,197,"[[32,3852],[97,2126],[111,1811],[0,1624],[101,1392]]"
64,0x040,PROFILE_CONFIRMED,playerName,Player Name,96,2297,0,0,197,"[[0,2297],[97,2256],[32,1923],[111,1548],[114,1522]]"
65,0x041,PROFILE_CONFIRMED,playerName,Player Name,92,3373,0,0,197,"[[0,3373],[97,2506],[101,1874],[111,1594],[114,1570]]"
66,0x042,PROFILE_CONFIRMED,playerName,Player Name,91,4926,0,0,197,"[[0,4926],[97,2309],[101,1758],[114,1630],[105,1428]]"
67,0x043,PROFILE_CONFIRMED,playerName,Player Name,96,7433,0,0,197,"[[0,7433],[97,2011],[101,1588],[114,1412],[105,1342]]"
68,0x044,PROFILE_CONFIRMED,playerName,Player Name,85,10579,0,0,197,"[[0,10579],[97,1752],[101,1406],[105,1166],[111,1123]]"
69,0x045,PROFILE_CONFIRMED,playerName,Player Name,90,13865,0,0,197,"[[0,13865],[97,1349],[101,1070],[111,921],[105,914]]"
70,0x046,PROFILE_CONFIRMED,playerName,Player Name,80,17128,0,0,197,"[[0,17128],[97,912],[101,811],[105,712],[111,661]]"
71,0x047,PROFILE_CONFIRMED,playerName,,76,19818,0,0,197,"[[0,19818],[97,645],[105,498],[101,492],[111,458]]"
72,0x048,PROFILE_CONFIRMED,playerName,,68,21817,0,0,197,"[[0,21817],[97,363],[101,349],[105,322],[110,248]]"
73,0x049,PROFILE_CONFIRMED,playerName,,62,23039,0,0,197,"[[0,23039],[105,227],[97,219],[101,206],[110,164]]"
74,0x04A,PROFILE_CONFIRMED,playerName,,60,23914,0,0,197,"[[0,23914],[105,147],[97,121],[110,93],[101,92]]"
75,0x04B,PROFILE_CONFIRMED,playerName,,42,24406,0,0,196,"[[0,24406],[105,71],[101,58],[97,58],[110,47]]"
76,0x04C,PROFILE_CONFIRMED,playerName,,34,24678,0,0,195,"[[0,24678],[111,33],[105,33],[115,32],[97,29]]"
77,0x04D,PROFILE_CONFIRMED,playerName,,31,24819,0,0,196,"[[0,24819],[105,27],[97,23],[111,19],[115,17]]"
78,0x04E,PROFILE_CONFIRMED,playerName,,24,24893,0,0,196,"[[0,24893],[110,17],[97,13],[101,12],[105,12]]"
79,0x04F,PROFILE_CONFIRMED,playerName,,23,24943,0,0,196,"[[0,24943],[115,9],[110,8],[101,6],[111,5]]"
80,0x050,PROFILE_CONFIRMED,playerName,,14,24970,0,0,169,"[[0,24970],[115,6],[32,5],[97,5],[105,4]]"
81,0x051,PROFILE_CONFIRMED,playerName,,10,24990,0,0,117,"[[0,24990],[110,6],[115,2],[32,1],[111,1]]"
82,0x052,PROFILE_CONFIRMED,playerName,,7,24998,0,0,111,"[[0,24998],[97,2],[101,1],[104,1],[111,1]]"
83,0x053,PROFILE_CONFIRMED,playerName,,4,25002,0,0,115,"[[0,25002],[105,1],[109,1],[115,1]]"
84,0x054,PROFILE_CONFIRMED,playerName,,3,25003,0,0,115,"[[0,25003],[112,1],[115,1]]"
85,0x055,PROFILE_CONFIRMED,playerName,,2,25004,0,0,111,"[[0,25004],[111,1]]"
86,0x056,PROFILE_CONFIRMED,playerName,,2,25004,0,0,110,"[[0,25004],[110,1]]"
87,0x057,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
88,0x058,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
89,0x059,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
90,0x05A,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
91,0x05B,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
92,0x05C,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
93,0x05D,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
94,0x05E,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
95,0x05F,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
96,0x060,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
97,0x061,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
98,0x062,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
99,0x063,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
100,0x064,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
101,0x065,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
102,0x066,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
103,0x067,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
104,0x068,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
105,0x069,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
106,0x06A,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
107,0x06B,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
108,0x06C,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
109,0x06D,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
110,0x06E,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
111,0x06F,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
112,0x070,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
113,0x071,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
114,0x072,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
115,0x073,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
116,0x074,PROFILE_CONFIRMED,playerName,,1,25005,0,0,0,"[[0,25005]]"
117,0x075,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),30,0,0,32,197,"[[77,2386],[65,2075],[83,1691],[66,1629],[67,1506]]"
118,0x076,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),51,0,0,32,197,"[[65,6036],[79,3163],[69,3000],[73,2293],[85,2073]]"
119,0x077,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),54,27,0,0,197,"[[82,2642],[78,2268],[32,2052],[65,1823],[76,1665]]"
120,0x078,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),61,216,0,0,197,"[[65,2840],[73,1974],[82,1963],[69,1741],[78,1703]]"
121,0x079,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),61,1647,0,0,197,"[[65,2973],[69,2832],[79,2272],[73,2145],[0,1647]]"
122,0x07A,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),61,4706,0,0,197,"[[0,4706],[65,1912],[78,1818],[82,1714],[69,1692]]"
123,0x07B,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),59,8745,0,0,197,"[[0,8745],[65,1760],[79,1673],[78,1306],[73,1216]]"
124,0x07C,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),62,12996,0,0,197,"[[0,12996],[65,1427],[79,1113],[69,1099],[73,1028]]"
125,0x07D,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),58,16527,0,0,197,"[[0,16527],[69,774],[65,764],[78,725],[73,706]]"
126,0x07E,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),55,19057,0,0,197,"[[0,19057],[65,671],[73,544],[69,525],[79,504]]"
127,0x07F,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),59,20942,0,0,197,"[[0,20942],[65,490],[69,435],[73,374],[79,352]]"
128,0x080,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),54,22297,0,0,197,"[[0,22297],[65,299],[69,293],[73,230],[79,227]]"
129,0x081,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),49,23277,0,0,197,"[[0,23277],[65,201],[79,179],[69,175],[73,152]]"
130,0x082,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),44,24029,0,0,197,"[[0,24029],[65,125],[79,111],[69,107],[83,83]]"
131,0x083,PROFILE_CANDIDATE,clubShirtName,Name on Strip (Club),36,24503,0,0,195,"[[0,24503],[65,55],[79,51],[69,51],[73,45]]"
132,0x084,PROFILE_CANDIDATE,clubShirtName,,28,24796,0,0,197,"[[0,24796],[65,39],[69,30],[73,19],[82,18]]"
133,0x085,PROFILE_CANDIDATE,clubShirtName,,22,24913,0,0,195,"[[0,24913],[90,12],[79,12],[83,10],[69,10]]"
134,0x086,PROFILE_CANDIDATE,clubShirtName,,14,24974,0,0,195,"[[0,24974],[83,7],[65,7],[90,5],[78,3]]"
135,0x087,PROFILE_CANDIDATE,clubShirtName,,7,24996,0,0,156,"[[0,24996],[79,3],[73,2],[90,1],[156,1]]"
136,0x088,PROFILE_CANDIDATE,clubShirtName,,3,25003,0,0,90,"[[0,25003],[86,1],[90,1]]"
137,0x089,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
138,0x08A,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
139,0x08B,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
140,0x08C,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
141,0x08D,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
142,0x08E,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
143,0x08F,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
144,0x090,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
145,0x091,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
146,0x092,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
147,0x093,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
148,0x094,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
149,0x095,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
150,0x096,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
151,0x097,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
152,0x098,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
153,0x099,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
154,0x09A,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
155,0x09B,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
156,0x09C,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
157,0x09D,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
158,0x09E,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
159,0x09F,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
160,0x0A0,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
161,0x0A1,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
162,0x0A2,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
163,0x0A3,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
164,0x0A4,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
165,0x0A5,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
166,0x0A6,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
167,0x0A7,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
168,0x0A8,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
169,0x0A9,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
170,0x0AA,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
171,0x0AB,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
172,0x0AC,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
173,0x0AD,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
174,0x0AE,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
175,0x0AF,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
176,0x0B0,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
177,0x0B1,PROFILE_CANDIDATE,clubShirtName,,1,25005,0,0,0,"[[0,25005]]"
178,0x0B2,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),31,4100,0,0,197,"[[0,4100],[77,1999],[65,1753],[66,1399],[83,1390]]"
179,0x0B3,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),52,4100,0,0,197,"[[65,5128],[0,4100],[79,2697],[69,2599],[73,1867]]"
180,0x0B4,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),54,4123,0,0,197,"[[0,4123],[82,2253],[78,1812],[32,1540],[65,1487]]"
181,0x0B5,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),58,4299,0,0,197,"[[0,4299],[65,2446],[82,1738],[73,1690],[69,1474]]"
182,0x0B6,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),61,5567,0,0,197,"[[0,5567],[65,2531],[69,2443],[79,1935],[73,1845]]"
183,0x0B7,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),63,8249,0,0,197,"[[0,8249],[65,1617],[78,1525],[82,1465],[69,1436]]"
184,0x0B8,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),58,11727,0,0,197,"[[0,11727],[65,1457],[79,1428],[78,1107],[73,1030]]"
185,0x0B9,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),60,15347,0,0,197,"[[0,15347],[65,1181],[69,931],[79,925],[73,873]]"
186,0x0BA,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),53,18226,0,0,196,"[[0,18226],[69,653],[65,621],[73,604],[78,584]]"
187,0x0BB,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),52,20266,0,0,197,"[[0,20266],[65,520],[73,442],[69,428],[79,417]]"
188,0x0BC,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),53,21787,0,0,197,"[[0,21787],[65,383],[69,359],[73,297],[79,288]]"
189,0x0BD,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),51,22889,0,0,197,"[[0,22889],[65,237],[69,234],[73,177],[79,176]]"
190,0x0BE,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),49,23648,0,0,197,"[[0,23648],[79,153],[65,142],[69,142],[73,119]]"
191,0x0BF,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),41,24243,0,0,197,"[[0,24243],[65,93],[79,91],[69,83],[83,74]]"
192,0x0C0,PROFILE_CANDIDATE,nationalShirtName,Name on Strip (National Team),34,24617,0,0,195,"[[0,24617],[79,46],[65,45],[69,41],[82,32]]"
193,0x0C1,PROFILE_CANDIDATE,nationalShirtName,,25,24831,0,0,197,"[[0,24831],[65,29],[69,24],[73,19],[82,15]]"
194,0x0C2,PROFILE_CANDIDATE,nationalShirtName,,19,24933,0,0,195,"[[0,24933],[83,10],[73,9],[90,8],[69,8]]"
195,0x0C3,PROFILE_CANDIDATE,nationalShirtName,,13,24979,0,0,195,"[[0,24979],[65,7],[83,6],[90,3],[78,2]]"
196,0x0C4,PROFILE_CANDIDATE,nationalShirtName,,6,24997,0,0,156,"[[0,24997],[79,3],[73,2],[90,1],[156,1]]"
197,0x0C5,PROFILE_CANDIDATE,nationalShirtName,,3,25003,0,0,90,"[[0,25003],[86,1],[90,1]]"
198,0x0C6,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
199,0x0C7,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
200,0x0C8,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
201,0x0C9,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
202,0x0CA,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
203,0x0CB,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
204,0x0CC,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
205,0x0CD,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
206,0x0CE,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
207,0x0CF,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
208,0x0D0,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
209,0x0D1,PROFILE_CANDIDATE,nationalShirtName,,1,25005,0,0,0,"[[0,25005]]"
